,cluster,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,harmonized_salary,adjusted_annual_salary
278,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed,120000.0,1.9309492546535878
279,0,25-34,5-7 years,5-7 years,Master's degree,Non-binary,Education,bad payed,52000.0,0.8367446770165546
281,1,35-44,21 - 30 years,21 - 30 years,High School,Woman,Industry,well payed,80000.0,1.287299503102392
282,5,25-34,8 - 10 years,5-7 years,Some college,Woman,Industry,bad payed,56000.0,0.9011096521716743
283,1,45-54,21 - 30 years,21 - 30 years,College degree,Man,Industry,bad payed,47840.0,0.7698051028552303
284,3,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Consulting,well payed,150000.0,2.413686568316985
285,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed,150000.0,2.413686568316985
287,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,100000.0,1.6091243788779899
288,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,97500.0,1.56889626940604
289,5,25-34,5-7 years,5-7 years,College degree,Man,Banking & Insurance,well payed,100000.0,1.6091243788779899
290,2,45-54,21 - 30 years,8 - 10 years,College degree,Woman,Health,well payed,125000.0,2.0114054735974873
291,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,63000.0,1.0137483586931335
292,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Unidentified,well payed,63000.0,1.6423700181442784
293,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,well payed,79000.0,1.271208259313612
294,0,25-34,5-7 years,2 - 4 years,Master's degree,Man,Other,bad payed,52000.0,0.8367446770165546
295,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed,109000.0,1.7539455729770088
296,3,45-54,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed,68040.0,1.7737596195958207
297,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Unidentified,well payed,120000.0,1.9309492546535878
298,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Education,well payed,51172.38,1.3340314709378716
299,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Culture,well payed,70000.0,1.1263870652145929
300,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,110000.0,1.7700368167657887
301,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Education,well payed,45820.0,1.0915761387459502
302,5,25-34,8 - 10 years,5-7 years,Some college,Woman,Public & Government,well payed,45820.0,1.0915761387459502
303,1,18-24,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,bad payed,45000.0,0.7241059704950954
304,0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,70000.0,1.1263870652145929
306,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,bad payed,34598.4,0.5474291790081264
308,2,25-34,5-7 years,1 year or less,College degree,Woman,Public & Government,well payed,64000.0,1.0298396024819134
310,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Industry,well payed,80000.0,1.287299503102392
311,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed,78000.0,1.2551170155248321
312,0,18-24,2 - 4 years,2 - 4 years,Master's degree,Woman,Law,well payed,65000.0,1.0459308462706933
313,0,65 or over,41 years or more,31 - 40 years,Master's degree,Woman,Health,well payed,110000.0,1.7700368167657887
314,1,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed,114400.0,1.8408382894364204
316,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed,58300.0,0.938119512885868
317,0,35-44,21 - 30 years,21 - 30 years,Master's degree,Prefer not to answer,Technology & Science,well payed,156000.0,2.5102340310496642
318,0,45-54,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,130000.0,2.0918616925413867
319,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,well payed,75000.0,1.2068432841584924
320,0,25-34,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed,49140.0,1.2810486141525372
321,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,126000.0,2.027496717386267
322,1,45-54,21 - 30 years,21 - 30 years,College degree,Man,Industry,well payed,125000.0,2.0114054735974873
323,2,25-34,2 - 4 years,2 - 4 years,PhD,Woman,Non profit Organization,well payed,68730.0,1.637364208118925
324,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Education,bad payed,38480.0,0.6191910609922505
325,3,35-44,11 - 20 years,2 - 4 years,Master's degree,Man,Non profit Organization,bad payed,36000.0,0.5792847763960763
326,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed,55000.0,0.8850184083828944
327,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,bad payed,53500.0,0.8608815426997245
328,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed,49600.0,0.7981256919234829
329,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,50000.0,0.8045621894389949
330,0,25-34,11 - 20 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,bad payed,57750.0,0.929269328802039
332,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed,65000.0,1.0459308462706933
333,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Health,bad payed,43680.0,0.702865528693906
334,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,well payed,103000.0,1.6573981102443296
335,1,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Education,well payed,64260.0,1.675217418507164
336,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed,65000.0,1.0459308462706933
337,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,bad payed,31500.0,0.8211850090721392
338,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,well payed,73470.0,1.7502858776443682
339,3,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed,75000.0,1.2068432841584924
340,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,43470.0,1.133235312519552
341,1,18-24,5-7 years,1 year or less,College degree,Woman,Advertising,well payed,72500.0,1.1666151746865425
344,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,bad payed,38000.0,0.6114672639736362
346,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,bad payed,39000.0,0.6275585077624161
347,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed,105000.0,1.6895805978218892
349,0,35-44,11 - 20 years,8 - 10 years,PhD,Woman,Technology & Science,well payed,179000.0,2.880332638191602
350,1,35-44,21 - 30 years,5-7 years,College degree,Woman,Advertising,well payed,77000.0,1.2390257717360522
351,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,55000.0,0.8850184083828944
352,0,25-34,5-7 years,2 - 4 years,Master's degree,Prefer not to answer,Technology & Science,well payed,64200.0,1.0330578512396695
353,1,55-64,21 - 30 years,11 - 20 years,College degree,Woman,Health,bad payed,43500.0,0.6999691048119255
354,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,well payed,92000.0,1.4803944285677506
355,0,55-64,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,well payed,170000.0,2.7355114440925825
356,1,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Other,well payed,87938.0,1.4150317962977266
357,2,25-34,5-7 years,5-7 years,PhD,Woman,Health,well payed,125000.0,2.0114054735974873
358,4,25-34,1 year or less,1 year or less,College degree,Woman,Technology & Science,well payed,47400.0,1.1292166952544311
359,1,55-64,31 - 40 years,31 - 40 years,College degree,Man,Banking & Insurance,well payed,186000.0,2.992971344713061
360,1,35-44,21 - 30 years,11 - 20 years,Some college,Woman,Unidentified,bad payed,38710.0,0.9221936344577853
361,5,25-34,5-7 years,5-7 years,College degree,Woman,Unidentified,bad payed,51000.0,0.8206534332277748
362,5,25-34,8 - 10 years,5-7 years,College degree,Man,Banking & Insurance,bad payed,61800.0,0.9944388661465977
363,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,155000.0,2.494142787260884
364,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Culture,bad payed,40000.0,0.643649751551196
365,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,well payed,71750.0,1.1545467418449578
366,3,35-44,8 - 10 years,2 - 4 years,Master's degree,Man,Industry,well payed,70000.0,1.1263870652145929
367,0,35-44,21 - 30 years,8 - 10 years,Master's degree,Woman,Consulting,well payed,87000.0,1.399938209623851
368,1,35-44,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,well payed,157000.0,2.526325274838444
369,1,35-44,5-7 years,5-7 years,College degree,Woman,Other,well payed,65000.0,1.0459308462706933
370,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,42120.0,0.6777631883834093
371,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,well payed,65000.0,1.0459308462706933
372,5,25-34,8 - 10 years,8 - 10 years,College degree,Man,Non profit Organization,well payed,85000.0,1.3677557220462913
373,0,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,86000.0,1.3838469658350712
374,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,85000.0,1.3677557220462913
375,3,45-54,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed,94000.0,1.5125769161453104
376,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed,104000.0,1.6734893540331093
377,0,45-54,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,88000.0,1.416029453412631
378,0,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Public & Government,bad payed,52000.0,0.8367446770165546
379,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,65000.0,1.0459308462706933
380,1,45-54,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,well payed,175000.0,2.8159676630364823
381,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Consulting,well payed,134000.0,2.1562266676965063
382,1,35-44,21 - 30 years,21 - 30 years,College degree,Woman,Health,well payed,98500.0,1.58498751319482
383,1,35-44,8 - 10 years,5-7 years,Some college,Woman,Health,bad payed,43000.0,0.6919234829175356
384,5,45-54,11 - 20 years,5-7 years,Some college,Woman,Non profit Organization,bad payed,36712.0,0.5907417419736876
385,0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,112000.0,1.8022193043433485
386,1,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed,85000.0,1.3677557220462913
387,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,bad payed,60000.0,0.9654746273267939
388,1,35-44,11 - 20 years,2 - 4 years,High School,Woman,Law,bad payed,50000.0,0.8045621894389949
389,1,18-24,2 - 4 years,1 year or less,College degree,Woman,Public & Government,bad payed,52000.0,0.8367446770165546
390,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed,57000.0,0.9172008959604542
391,5,25-34,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed,51000.0,0.8206534332277748
392,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,54000.0,0.8689271645941145
393,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed,56000.0,0.9011096521716743
394,5,25-34,2 - 4 years,5-7 years,PhD,Woman,Education,bad payed,56000.0,0.9011096521716743
395,2,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,39000.0,0.6275585077624161
396,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed,40000.0,0.643649751551196
397,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Law,well payed,56485.0,1.345649895178197
398,0,45-54,11 - 20 years,8 - 10 years,College degree,Woman,Other,well payed,68000.0,1.094204577637033
399,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Banking & Insurance,well payed,65000.0,1.0459308462706933
400,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,well payed,67000.0,1.0781133338482531
401,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,well payed,126000.0,2.027496717386267
402,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Consulting,well payed,75000.0,1.2068432841584924
403,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Other,bad payed,50000.0,0.8045621894389949
404,1,45-54,11 - 20 years,11 - 20 years,PhD,Woman,Health,well payed,146000.0,2.349321593161865
405,0,25-34,8 - 10 years,8 - 10 years,PhD,Woman,Industry,well payed,100000.0,1.6091243788779899
407,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,135000.0,2.1723179114852864
408,4,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,131000.0,2.107952936330167
409,0,45-54,21 - 30 years,5-7 years,Master's degree,Woman,Unidentified,well payed,64000.0,1.0298396024819134
410,5,25-34,5-7 years,5-7 years,College degree,Woman,Consulting,bad payed,61800.0,0.9944388661465977
412,1,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Other,bad payed,38800.0,0.6243402590046601
413,1,35-44,21 - 30 years,11 - 20 years,Some college,Woman,Culture,bad payed,32860.0,0.5199235462393357
414,0,25-34,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed,50000.0,0.8045621894389949
415,4,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,70000.0,1.1263870652145929
416,0,45-54,31 - 40 years,21 - 30 years,Master's degree,Woman,Public & Government,well payed,126000.0,2.027496717386267
417,5,45-54,5-7 years,5-7 years,College degree,Woman,Public & Government,well payed,42660.0,1.016295025728988
418,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,107000.0,1.721763085399449
420,5,25-34,11 - 20 years,5-7 years,College degree,Woman,Unidentified,well payed,80000.0,1.287299503102392
421,3,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed,67150.0,1.599723651610444
422,0,25-34,8 - 10 years,5-7 years,Master's degree,Man,Consulting,well payed,105000.0,1.6895805978218892
423,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Law,well payed,120000.0,1.9309492546535878
424,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Education,well payed,82000.0,1.3194819906799515
425,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed,90000.0,1.4482119409901908
426,0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,65000.0,1.0459308462706933
427,4,45-54,21 - 30 years,2 - 4 years,College degree,Woman,Technology & Science,well payed,80000.0,1.287299503102392
428,4,35-44,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,60000.0,0.9654746273267939
429,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed,180000.0,2.8964238819803816
430,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,well payed,157029.0,2.5267919209083187
431,4,35-44,11 - 20 years,2 - 4 years,Some college,Woman,Technology & Science,well payed,120000.0,1.9309492546535878
432,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,82000.0,1.3194819906799515
433,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,83500.0,1.3436188563631215
434,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,107100.0,2.7920290308452733
435,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed,44500.0,0.7160603486007054
436,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Other,bad payed,58240.0,0.9371540382585413
437,5,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,107500.0,1.729808707293839
438,3,45-54,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,155000.0,2.494142787260884
440,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,65000.0,1.0459308462706933
441,5,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,well payed,82500.0,1.3275276125743416
442,5,25-34,8 - 10 years,5-7 years,College degree,Non-binary,Education,bad payed,34000.0,0.5471022888185165
443,4,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,45000.0,0.7241059704950954
444,1,35-44,11 - 20 years,21 - 30 years,Some college,Woman,Advertising,well payed,140000.0,2.2527741304291857
445,2,25-34,8 - 10 years,1 year or less,College degree,Woman,Public & Government,well payed,43450.0,1.0351153039832286
448,4,25-34,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,115000.0,1.8504930357096883
449,0,25-34,1 year or less,1 year or less,Some college,Non-binary,Technology & Science,well payed,80000.0,1.287299503102392
450,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Education,bad payed,58800.0,0.946165134780258
451,3,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,101360.0,1.6310084704307304
452,1,35-44,21 - 30 years,11 - 20 years,College degree,Man,Public & Government,well payed,103000.0,1.6573981102443296
