,how_old_are_you,adjusted_annual_salary,annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,harmonized_salary
287,25-34,1.6091243788779899,100000.0,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,100000.0
288,35-44,1.56889626940604,97500.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,97500.0
289,25-34,1.6091243788779899,100000.0,5-7 years,5-7 years,College degree,Man,Banking & Insurance,100000.0
290,45-54,2.0114054735974873,125000.0,21 - 30 years,8 - 10 years,College degree,Woman,Health,125000.0
291,35-44,1.0137483586931335,63000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,63000.0
292,25-34,1.6423700181442784,50000.0,8 - 10 years,5-7 years,College degree,Woman,Unidentified,63000.0
293,35-44,1.271208259313612,79000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,79000.0
294,25-34,0.8367446770165546,52000.0,5-7 years,2 - 4 years,Master's degree,Man,Other,52000.0
295,25-34,1.7539455729770088,109000.0,5-7 years,5-7 years,Master's degree,Woman,Public & Government,109000.0
296,45-54,1.7737596195958207,54000.0,21 - 30 years,21 - 30 years,PhD,Woman,Education,68040.0
297,45-54,1.9309492546535878,120000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Unidentified,120000.0
298,25-34,1.3340314709378716,40613.0,8 - 10 years,5-7 years,College degree,Woman,Education,51172.38
299,35-44,1.1263870652145929,70000.0,11 - 20 years,5-7 years,Master's degree,Woman,Culture,70000.0
300,35-44,1.7700368167657887,110000.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,110000.0
301,25-34,1.0915761387459502,58000.0,5-7 years,2 - 4 years,College degree,Woman,Education,45820.0
302,25-34,1.0915761387459502,58000.0,8 - 10 years,5-7 years,Some college,Woman,Public & Government,45820.0
303,18-24,0.7241059704950954,45000.0,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,45000.0
304,35-44,1.1263870652145929,70000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,70000.0
306,25-34,0.5474291790081264,32640.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,34598.4
308,25-34,1.0298396024819134,64000.0,5-7 years,1 year or less,College degree,Woman,Public & Government,64000.0
310,45-54,1.287299503102392,80000.0,21 - 30 years,11 - 20 years,College degree,Woman,Industry,80000.0
311,25-34,1.2551170155248321,78000.0,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,78000.0
312,18-24,1.0459308462706933,65000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Law,65000.0
313,65 or over,1.7700368167657887,110000.0,41 years or more,31 - 40 years,Master's degree,Woman,Health,110000.0
314,35-44,1.8408382894364204,114400.0,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,114400.0
316,25-34,0.938119512885868,58300.0,5-7 years,2 - 4 years,College degree,Woman,Education,58300.0
317,35-44,2.5102340310496642,156000.0,21 - 30 years,21 - 30 years,Master's degree,Prefer not to answer,Technology & Science,156000.0
318,45-54,2.0918616925413867,130000.0,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,130000.0
319,25-34,1.2068432841584924,75000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,75000.0
320,25-34,1.2810486141525372,39000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,49140.0
321,35-44,2.027496717386267,126000.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,126000.0
322,45-54,2.0114054735974873,125000.0,21 - 30 years,21 - 30 years,College degree,Man,Industry,125000.0
323,25-34,1.637364208118925,87000.0,2 - 4 years,2 - 4 years,PhD,Woman,Non profit Organization,68730.0
324,35-44,0.6191910609922505,38480.0,11 - 20 years,5-7 years,College degree,Woman,Education,38480.0
325,35-44,0.5792847763960763,36000.0,11 - 20 years,2 - 4 years,Master's degree,Man,Non profit Organization,36000.0
326,25-34,0.8850184083828944,55000.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Non profit Organization,55000.0
327,25-34,0.8608815426997245,53500.0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,53500.0
328,25-34,0.7981256919234829,49600.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Public & Government,49600.0
329,25-34,0.8045621894389949,50000.0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,50000.0
330,25-34,0.929269328802039,57750.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,57750.0
332,25-34,1.0459308462706933,65000.0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,65000.0
333,25-34,0.702865528693906,43680.0,5-7 years,2 - 4 years,College degree,Woman,Health,43680.0
334,25-34,1.6573981102443296,103000.0,5-7 years,5-7 years,College degree,Woman,Industry,103000.0
335,45-54,1.675217418507164,51000.0,21 - 30 years,21 - 30 years,College degree,Woman,Education,64260.0
336,25-34,1.0459308462706933,65000.0,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,65000.0
337,25-34,0.8211850090721392,25000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,31500.0
338,25-34,1.7502858776443682,93000.0,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,73470.0
339,35-44,1.2068432841584924,75000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,75000.0
340,35-44,1.133235312519552,34500.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,43470.0
341,18-24,1.1666151746865425,72500.0,5-7 years,1 year or less,College degree,Woman,Advertising,72500.0
344,25-34,0.6114672639736362,38000.0,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,38000.0
346,35-44,0.6275585077624161,39000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,39000.0
347,35-44,1.6895805978218892,105000.0,11 - 20 years,11 - 20 years,College degree,Woman,Education,105000.0
349,35-44,2.880332638191602,179000.0,11 - 20 years,8 - 10 years,PhD,Woman,Technology & Science,179000.0
350,35-44,1.2390257717360522,77000.0,21 - 30 years,5-7 years,College degree,Woman,Advertising,77000.0
351,35-44,0.8850184083828944,55000.0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,55000.0
352,25-34,1.0330578512396695,64200.0,5-7 years,2 - 4 years,Master's degree,Prefer not to answer,Technology & Science,64200.0
353,55-64,0.6999691048119255,43500.0,21 - 30 years,11 - 20 years,College degree,Woman,Health,43500.0
354,25-34,1.4803944285677506,92000.0,5-7 years,5-7 years,College degree,Woman,Industry,92000.0
355,55-64,2.7355114440925825,170000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,170000.0
356,45-54,1.4150317962977266,87938.0,21 - 30 years,11 - 20 years,College degree,Woman,Other,87938.0
357,25-34,2.0114054735974873,125000.0,5-7 years,5-7 years,PhD,Woman,Health,125000.0
358,25-34,1.1292166952544311,60000.0,1 year or less,1 year or less,College degree,Woman,Technology & Science,47400.0
359,55-64,2.992971344713061,186000.0,31 - 40 years,31 - 40 years,College degree,Man,Banking & Insurance,186000.0
360,35-44,0.9221936344577853,49000.0,21 - 30 years,11 - 20 years,Some college,Woman,Unidentified,38710.0
361,25-34,0.8206534332277748,51000.0,5-7 years,5-7 years,College degree,Woman,Unidentified,51000.0
362,25-34,0.9944388661465977,61800.0,8 - 10 years,5-7 years,College degree,Man,Banking & Insurance,61800.0
363,25-34,2.494142787260884,155000.0,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,155000.0
364,35-44,0.643649751551196,40000.0,11 - 20 years,11 - 20 years,College degree,Woman,Culture,40000.0
365,25-34,1.1545467418449578,71750.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,71750.0
366,35-44,1.1263870652145929,70000.0,8 - 10 years,2 - 4 years,Master's degree,Man,Industry,70000.0
367,35-44,1.399938209623851,87000.0,21 - 30 years,8 - 10 years,Master's degree,Woman,Consulting,87000.0
368,35-44,2.526325274838444,157000.0,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,157000.0
369,35-44,1.0459308462706933,65000.0,5-7 years,5-7 years,College degree,Woman,Other,65000.0
370,25-34,0.6777631883834093,42120.0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,42120.0
371,25-34,1.0459308462706933,65000.0,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,65000.0
372,25-34,1.3677557220462913,85000.0,8 - 10 years,8 - 10 years,College degree,Man,Non profit Organization,85000.0
373,35-44,1.3838469658350712,86000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,86000.0
374,35-44,1.3677557220462913,85000.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,85000.0
375,45-54,1.5125769161453104,94000.0,21 - 30 years,21 - 30 years,PhD,Woman,Education,94000.0
376,45-54,1.6734893540331093,104000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,104000.0
377,45-54,1.416029453412631,88000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,88000.0
378,35-44,0.8367446770165546,52000.0,11 - 20 years,8 - 10 years,Some college,Woman,Public & Government,52000.0
379,25-34,1.0459308462706933,65000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,65000.0
380,45-54,2.8159676630364823,175000.0,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,175000.0
381,25-34,2.1562266676965063,134000.0,8 - 10 years,5-7 years,Master's degree,Woman,Consulting,134000.0
382,35-44,1.58498751319482,98500.0,21 - 30 years,21 - 30 years,College degree,Woman,Health,98500.0
383,35-44,0.6919234829175356,43000.0,8 - 10 years,5-7 years,Some college,Woman,Health,43000.0
384,45-54,0.5907417419736876,36712.0,11 - 20 years,5-7 years,Some college,Woman,Non profit Organization,36712.0
385,35-44,1.8022193043433485,112000.0,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,112000.0
386,25-34,1.3677557220462913,85000.0,11 - 20 years,11 - 20 years,College degree,Woman,Other,85000.0
387,25-34,0.9654746273267939,60000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,60000.0
388,35-44,0.8045621894389949,50000.0,11 - 20 years,2 - 4 years,High School,Woman,Law,50000.0
389,18-24,0.8367446770165546,52000.0,2 - 4 years,1 year or less,College degree,Woman,Public & Government,52000.0
390,25-34,0.9172008959604542,57000.0,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,57000.0
391,25-34,0.8206534332277748,51000.0,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,51000.0
392,25-34,0.8689271645941145,54000.0,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,54000.0
393,25-34,0.9011096521716743,56000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,56000.0
394,25-34,0.9011096521716743,56000.0,2 - 4 years,5-7 years,PhD,Woman,Education,56000.0
395,18-24,0.6275585077624161,39000.0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,39000.0
396,25-34,0.643649751551196,40000.0,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,40000.0
397,25-34,1.345649895178197,71500.0,8 - 10 years,5-7 years,College degree,Woman,Law,56485.0
398,45-54,1.094204577637033,68000.0,11 - 20 years,8 - 10 years,College degree,Woman,Other,68000.0
399,35-44,1.0459308462706933,65000.0,11 - 20 years,11 - 20 years,Some college,Woman,Banking & Insurance,65000.0
400,25-34,1.0781133338482531,67000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,67000.0
401,25-34,2.027496717386267,126000.0,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,126000.0
402,25-34,1.2068432841584924,75000.0,5-7 years,5-7 years,Master's degree,Woman,Consulting,75000.0
403,35-44,0.8045621894389949,50000.0,11 - 20 years,5-7 years,Master's degree,Woman,Other,50000.0
404,45-54,2.349321593161865,146000.0,11 - 20 years,11 - 20 years,PhD,Woman,Health,146000.0
405,25-34,1.6091243788779899,100000.0,8 - 10 years,8 - 10 years,PhD,Woman,Industry,100000.0
407,25-34,2.1723179114852864,135000.0,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,135000.0
408,25-34,2.107952936330167,131000.0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,131000.0
409,45-54,1.0298396024819134,64000.0,21 - 30 years,5-7 years,Master's degree,Woman,Unidentified,64000.0
410,25-34,0.9944388661465977,61800.0,5-7 years,5-7 years,College degree,Woman,Consulting,61800.0
412,35-44,0.6243402590046601,38800.0,11 - 20 years,2 - 4 years,College degree,Woman,Other,38800.0
413,35-44,0.5199235462393357,31000.0,21 - 30 years,11 - 20 years,Some college,Woman,Culture,32860.0
414,25-34,0.8045621894389949,50000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,50000.0
415,25-34,1.1263870652145929,70000.0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,70000.0
416,45-54,2.027496717386267,126000.0,31 - 40 years,21 - 30 years,Master's degree,Woman,Public & Government,126000.0
417,45-54,1.016295025728988,54000.0,5-7 years,5-7 years,College degree,Woman,Public & Government,42660.0
418,25-34,1.721763085399449,107000.0,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,107000.0
420,25-34,1.287299503102392,80000.0,11 - 20 years,5-7 years,College degree,Woman,Unidentified,80000.0
421,35-44,1.599723651610444,85000.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Public & Government,67150.0
422,25-34,1.6895805978218892,105000.0,8 - 10 years,5-7 years,Master's degree,Man,Consulting,105000.0
423,35-44,1.9309492546535878,120000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Law,120000.0
424,35-44,1.3194819906799515,82000.0,11 - 20 years,11 - 20 years,College degree,Man,Education,82000.0
425,35-44,1.4482119409901908,90000.0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,90000.0
426,35-44,1.0459308462706933,65000.0,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,65000.0
427,45-54,1.287299503102392,80000.0,21 - 30 years,2 - 4 years,College degree,Woman,Technology & Science,80000.0
428,35-44,0.9654746273267939,60000.0,11 - 20 years,2 - 4 years,College degree,Woman,Technology & Science,60000.0
429,25-34,2.8964238819803816,180000.0,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,180000.0
430,35-44,2.5267919209083187,157029.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,157029.0
431,35-44,1.9309492546535878,120000.0,11 - 20 years,2 - 4 years,Some college,Woman,Technology & Science,120000.0
432,25-34,1.3194819906799515,82000.0,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,82000.0
433,35-44,1.3436188563631215,83500.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,83500.0
434,35-44,2.7920290308452733,85000.0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,107100.0
435,25-34,0.7160603486007054,44500.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Non profit Organization,44500.0
436,25-34,0.9371540382585413,58240.0,5-7 years,2 - 4 years,Master's degree,Woman,Other,58240.0
437,25-34,1.729808707293839,107500.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,107500.0
438,45-54,2.494142787260884,155000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,155000.0
440,25-34,1.0459308462706933,65000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,65000.0
441,25-34,1.3275276125743416,82500.0,5-7 years,5-7 years,College degree,Woman,Advertising,82500.0
442,25-34,0.5471022888185165,34000.0,8 - 10 years,5-7 years,College degree,Non-binary,Education,34000.0
443,25-34,0.7241059704950954,45000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,45000.0
444,35-44,2.2527741304291857,140000.0,11 - 20 years,21 - 30 years,Some college,Woman,Advertising,140000.0
445,25-34,1.0351153039832286,55000.0,8 - 10 years,1 year or less,College degree,Woman,Public & Government,43450.0
448,25-34,1.8504930357096883,115000.0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,115000.0
449,25-34,1.287299503102392,80000.0,1 year or less,1 year or less,Some college,Non-binary,Technology & Science,80000.0
450,25-34,0.946165134780258,58800.0,5-7 years,2 - 4 years,Master's degree,Woman,Education,58800.0
451,35-44,1.6310084704307304,101360.0,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,101360.0
452,35-44,1.6573981102443296,103000.0,21 - 30 years,11 - 20 years,College degree,Man,Public & Government,103000.0
453,35-44,2.7355114440925825,170000.0,21 - 30 years,11 - 20 years,College degree,Woman,Technology & Science,170000.0
454,45-54,2.107871164474938,112000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,88480.0
455,25-34,1.287299503102392,80000.0,2 - 4 years,11 - 20 years,Master's degree,Woman,Non profit Organization,80000.0
456,25-34,1.074975541309441,66805.0,8 - 10 years,8 - 10 years,PhD,Woman,Public & Government,66805.0
458,35-44,1.882675523287248,117000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Consulting,117000.0
460,35-44,0.8689271645941145,54000.0,1 year or less,1 year or less,Master's degree,Woman,Education,54000.0
461,25-34,0.535516593290595,33280.0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,33280.0
462,25-34,0.5792847763960763,36000.0,5-7 years,5-7 years,Master's degree,Woman,Culture,36000.0
463,25-34,0.9332921397492341,58000.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,58000.0
464,35-44,1.8510610315563085,134800.0,8 - 10 years,2 - 4 years,PhD,Woman,Health,95708.0
465,25-34,1.2679096540073829,38600.0,8 - 10 years,8 - 10 years,College degree,Woman,Health,48636.0
466,35-44,2.655055225148683,165000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,165000.0
467,45-54,1.6413068664555497,102000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,102000.0
469,55-64,2.188409155274066,136000.0,21 - 30 years,8 - 10 years,Some college,Man,Industry,136000.0
470,35-44,1.7700368167657887,110000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,110000.0
471,35-44,1.1601786771710307,72100.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,72100.0
473,25-34,0.5957622100357869,37024.0,5-7 years,2 - 4 years,PhD,Prefer not to answer,Education,37024.0
