,cluster,adjusted_annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,harmonized_salary
324,2,0.6191910609922505,11 - 20 years,5-7 years,College degree,Education,38480.0
325,1,0.5953760201848562,11 - 20 years,2 - 4 years,Master's degree,Non profit Organization,36000.0
326,3,0.8850184083828944,8 - 10 years,2 - 4 years,Master's degree,Non profit Organization,55000.0
327,0,0.8608815426997245,8 - 10 years,8 - 10 years,College degree,Advertising,53500.0
328,3,0.7981256919234829,8 - 10 years,2 - 4 years,Master's degree,Public & Government,49600.0
329,2,0.8045621894389949,8 - 10 years,5-7 years,College degree,Non profit Organization,50000.0
330,1,1.0217939805875236,11 - 20 years,2 - 4 years,Master's degree,Banking & Insurance,57750.0
331,0,0.9976571149043537,11 - 20 years,8 - 10 years,Master's degree,Social,62000.0
332,1,1.0459308462706933,8 - 10 years,5-7 years,College degree,Non profit Organization,65000.0
333,2,0.702865528693906,5-7 years,2 - 4 years,College degree,Health,43680.0
334,2,1.6895805978218892,5-7 years,5-7 years,College degree,Industry,103000.0
335,2,1.675217418507164,21 - 30 years,21 - 30 years,College degree,Education,64260.0
336,2,1.089377204500399,8 - 10 years,5-7 years,College degree,Non profit Organization,65000.0
337,3,0.8472543744395087,2 - 4 years,2 - 4 years,Master's degree,Industry,31500.0
338,0,1.7502858776443682,8 - 10 years,8 - 10 years,College degree,Public & Government,73470.0
339,1,1.2068432841584924,21 - 30 years,11 - 20 years,Master's degree,Education,75000.0
340,0,1.133235312519552,11 - 20 years,11 - 20 years,College degree,Non profit Organization,43470.0
341,2,1.2148889060528822,5-7 years,1 year or less,College degree,Advertising,72500.0
342,0,1.4079838315182411,11 - 20 years,5-7 years,College degree,Agriculture & Food,86000.0
343,0,1.287299503102392,11 - 20 years,11 - 20 years,College degree,Construction,75000.0
344,0,0.6114672639736362,8 - 10 years,8 - 10 years,College degree,Unidentified,38000.0
345,1,1.0137483586931335,8 - 10 years,5-7 years,Master's degree,Social,63000.0
346,1,0.6275585077624161,11 - 20 years,11 - 20 years,Master's degree,Culture,39000.0
347,0,1.6895805978218892,11 - 20 years,11 - 20 years,College degree,Education,105000.0
348,4,0.949383383538014,21 - 30 years,8 - 10 years,High School,Construction,53000.0
349,0,4.9721943307329886,11 - 20 years,8 - 10 years,PhD,Technology & Science,179000.0
350,2,1.2390257717360522,21 - 30 years,5-7 years,College degree,Advertising,77000.0
351,0,0.8850184083828944,11 - 20 years,11 - 20 years,College degree,Unidentified,55000.0
352,3,1.081331582606009,5-7 years,2 - 4 years,Master's degree,Technology & Science,64200.0
353,1,0.6999691048119255,21 - 30 years,11 - 20 years,College degree,Health,43500.0
354,2,1.5125769161453104,5-7 years,5-7 years,College degree,Industry,92000.0
355,3,2.7837851754589225,21 - 30 years,21 - 30 years,Master's degree,Public & Government,170000.0
356,0,1.4793967714528462,21 - 30 years,11 - 20 years,College degree,Other,87938.0
357,2,2.019451095491877,5-7 years,5-7 years,PhD,Health,125000.0
358,0,1.2721555174385364,1 year or less,1 year or less,College degree,Technology & Science,47400.0
359,0,2.992971344713061,31 - 40 years,31 - 40 years,College degree,Banking & Insurance,186000.0
360,1,0.9221936344577853,21 - 30 years,11 - 20 years,Some college,Unidentified,38710.0
361,2,0.8206534332277748,5-7 years,5-7 years,College degree,Unidentified,51000.0
362,2,1.0105301099353776,8 - 10 years,5-7 years,College degree,Banking & Insurance,61800.0
363,0,2.992971344713061,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,155000.0
364,0,0.6468680003089519,11 - 20 years,11 - 20 years,College degree,Culture,40000.0
365,4,1.1545467418449578,8 - 10 years,8 - 10 years,Master's degree,Education,71750.0
366,0,1.1263870652145929,8 - 10 years,2 - 4 years,Master's degree,Industry,70000.0
367,4,1.399938209623851,21 - 30 years,8 - 10 years,Master's degree,Consulting,87000.0
368,0,2.526325274838444,21 - 30 years,21 - 30 years,College degree,Technology & Science,157000.0
369,2,1.0459308462706933,5-7 years,5-7 years,College degree,Other,65000.0
370,3,0.6777631883834093,2 - 4 years,2 - 4 years,College degree,Non profit Organization,42120.0
371,1,1.1263870652145929,5-7 years,2 - 4 years,Master's degree,Consulting,65000.0
372,0,1.3677557220462913,8 - 10 years,8 - 10 years,College degree,Non profit Organization,85000.0
373,0,1.4321206972014109,8 - 10 years,8 - 10 years,College degree,Technology & Science,86000.0
374,0,1.4803944285677506,11 - 20 years,11 - 20 years,College degree,Technology & Science,85000.0
375,2,1.5125769161453104,21 - 30 years,21 - 30 years,PhD,Education,94000.0
376,4,1.6734893540331093,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,104000.0
377,0,1.557632398753894,8 - 10 years,8 - 10 years,College degree,Technology & Science,88000.0
378,0,0.8367446770165546,11 - 20 years,8 - 10 years,Some college,Public & Government,52000.0
379,0,1.094204577637033,8 - 10 years,8 - 10 years,College degree,Technology & Science,65000.0
380,0,5.6319353260729645,21 - 30 years,11 - 20 years,College degree,Technology & Science,175000.0
381,1,2.2045003990628462,8 - 10 years,5-7 years,Master's degree,Consulting,134000.0
382,0,1.745899951082619,21 - 30 years,21 - 30 years,College degree,Health,98500.0
383,1,0.6919234829175356,8 - 10 years,5-7 years,Some college,Health,43000.0
384,0,0.5907417419736876,11 - 20 years,5-7 years,Some college,Non profit Organization,36712.0
385,0,1.8022193043433485,11 - 20 years,8 - 10 years,College degree,Technology & Science,112000.0
386,0,1.3677557220462913,11 - 20 years,11 - 20 years,College degree,Other,85000.0
387,1,0.9654746273267939,8 - 10 years,8 - 10 years,Master's degree,Health,60000.0
388,3,0.8045621894389949,11 - 20 years,2 - 4 years,High School,Law,50000.0
389,3,0.8367446770165546,2 - 4 years,1 year or less,College degree,Public & Government,52000.0
390,3,0.9172008959604542,5-7 years,2 - 4 years,Master's degree,Public & Government,57000.0
391,2,0.8447902989109446,5-7 years,5-7 years,College degree,Banking & Insurance,51000.0
392,2,0.8689271645941145,5-7 years,2 - 4 years,College degree,Banking & Insurance,54000.0
393,4,0.9011096521716743,8 - 10 years,8 - 10 years,Master's degree,Education,56000.0
394,2,1.0298396024819134,2 - 4 years,5-7 years,PhD,Education,56000.0
395,3,0.6275585077624161,2 - 4 years,2 - 4 years,College degree,Non profit Organization,39000.0
396,0,0.6758322391287557,8 - 10 years,2 - 4 years,College degree,Banking & Insurance,40000.0
397,2,1.3813846007242234,8 - 10 years,5-7 years,College degree,Law,56485.0
398,0,1.110295821425813,11 - 20 years,8 - 10 years,College degree,Other,68000.0
399,1,1.094204577637033,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,65000.0
400,4,1.2229345279472723,8 - 10 years,8 - 10 years,Master's degree,Other,67000.0
401,0,2.043587961175047,8 - 10 years,8 - 10 years,College degree,Public & Government,126000.0
402,2,1.6895805978218892,5-7 years,5-7 years,Master's degree,Consulting,75000.0
403,3,0.8045621894389949,11 - 20 years,5-7 years,Master's degree,Other,50000.0
404,1,2.349321593161865,11 - 20 years,11 - 20 years,PhD,Health,146000.0
405,0,1.6493524883499395,8 - 10 years,8 - 10 years,PhD,Industry,100000.0
406,0,0.9332921397492341,11 - 20 years,5-7 years,High School,Construction,52000.0
407,0,2.2527741304291857,8 - 10 years,2 - 4 years,College degree,Banking & Insurance,135000.0
408,0,2.333230349373085,8 - 10 years,5-7 years,College degree,Technology & Science,131000.0
409,4,1.0620220900594732,21 - 30 years,5-7 years,Master's degree,Unidentified,64000.0
410,2,0.9944388661465977,5-7 years,5-7 years,College degree,Consulting,61800.0
411,3,0.8045621894389949,2 - 4 years,2 - 4 years,College degree,Security & Defense,49000.0
412,0,0.6243402590046601,11 - 20 years,2 - 4 years,College degree,Other,38800.0
413,1,0.5199235462393357,21 - 30 years,11 - 20 years,Some college,Culture,32860.0
414,1,0.8045621894389949,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,50000.0
415,0,1.1263870652145929,8 - 10 years,5-7 years,College degree,Technology & Science,70000.0
416,3,2.064506578100461,31 - 40 years,21 - 30 years,Master's degree,Public & Government,126000.0
417,2,1.016295025728988,5-7 years,5-7 years,College degree,Public & Government,42660.0
418,3,1.721763085399449,8 - 10 years,5-7 years,Master's degree,Public & Government,107000.0
419,0,0.5068741793465668,8 - 10 years,2 - 4 years,College degree,Retail,31500.0
420,0,1.416029453412631,11 - 20 years,5-7 years,College degree,Unidentified,80000.0
421,3,1.599723651610444,11 - 20 years,2 - 4 years,Master's degree,Public & Government,67150.0
422,1,1.9470404984423677,8 - 10 years,5-7 years,Master's degree,Consulting,105000.0
423,0,2.0114054735974873,11 - 20 years,8 - 10 years,Master's degree,Law,120000.0
424,0,1.3194819906799515,11 - 20 years,11 - 20 years,College degree,Education,82000.0
425,0,1.4482119409901908,11 - 20 years,11 - 20 years,College degree,Unidentified,90000.0
426,0,1.6091243788779899,11 - 20 years,8 - 10 years,College degree,Technology & Science,65000.0
427,4,1.287299503102392,21 - 30 years,2 - 4 years,College degree,Technology & Science,80000.0
428,0,1.0298396024819134,11 - 20 years,2 - 4 years,College degree,Technology & Science,60000.0
429,0,3.2182487577559797,8 - 10 years,8 - 10 years,College degree,Technology & Science,180000.0
430,0,3.0321374320949515,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,157029.0
431,0,1.9309492546535878,11 - 20 years,2 - 4 years,Some college,Technology & Science,120000.0
432,0,1.4803944285677506,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,82000.0
433,1,1.3516644782575113,11 - 20 years,11 - 20 years,Master's degree,Industry,83500.0
434,0,2.7920290308452733,11 - 20 years,5-7 years,College degree,Technology & Science,107100.0
435,3,0.7160603486007054,2 - 4 years,2 - 4 years,Master's degree,Non profit Organization,44500.0
436,3,0.9371540382585413,5-7 years,2 - 4 years,Master's degree,Other,58240.0
437,0,1.729808707293839,11 - 20 years,11 - 20 years,College degree,Non profit Organization,107500.0
438,1,2.494142787260884,11 - 20 years,11 - 20 years,Master's degree,Public & Government,155000.0
439,2,1.3259184881954635,8 - 10 years,5-7 years,College degree,Construction,82400.0
440,2,1.094204577637033,5-7 years,5-7 years,College degree,Technology & Science,65000.0
441,2,1.3275276125743416,5-7 years,5-7 years,College degree,Advertising,82500.0
442,2,0.5471022888185165,8 - 10 years,5-7 years,College degree,Education,34000.0
443,2,0.7241059704950954,2 - 4 years,2 - 4 years,College degree,Technology & Science,45000.0
444,0,2.574599006204784,11 - 20 years,21 - 30 years,Some college,Advertising,140000.0
445,0,1.0351153039832286,8 - 10 years,1 year or less,College degree,Public & Government,43450.0
446,4,4.521639504647151,8 - 10 years,5-7 years,Master's degree,Technology & Science,201000.0
447,0,4.5055482608583715,11 - 20 years,11 - 20 years,Some college,Technology & Science,210000.0
448,0,2.3010478617955252,11 - 20 years,5-7 years,College degree,Technology & Science,115000.0
449,4,1.3355732344687314,1 year or less,1 year or less,Some college,Technology & Science,80000.0
450,2,0.946165134780258,5-7 years,2 - 4 years,Master's degree,Education,58800.0
451,3,1.6310084704307304,8 - 10 years,5-7 years,Master's degree,Public & Government,101360.0
452,0,1.6573981102443296,21 - 30 years,11 - 20 years,College degree,Public & Government,103000.0
453,0,3.2826137329110994,21 - 30 years,11 - 20 years,College degree,Technology & Science,170000.0
454,1,2.107871164474938,11 - 20 years,11 - 20 years,Master's degree,Education,88480.0
455,4,1.287299503102392,2 - 4 years,11 - 20 years,Master's degree,Non profit Organization,80000.0
456,0,1.1071580288870009,8 - 10 years,8 - 10 years,PhD,Public & Government,66805.0
457,1,1.737854329188229,11 - 20 years,5-7 years,Master's degree,Human Ressources,90000.0
458,0,2.070943075615973,11 - 20 years,8 - 10 years,Master's degree,Consulting,117000.0
459,2,0.7241059704950954,5-7 years,1 year or less,Master's degree,Social,45000.0
460,1,0.8689271645941145,1 year or less,1 year or less,Master's degree,Education,54000.0
461,2,0.5837903246569347,5-7 years,5-7 years,Master's degree,Non profit Organization,33280.0
462,2,0.5792847763960763,5-7 years,5-7 years,Master's degree,Culture,36000.0
463,0,0.957429005432404,11 - 20 years,11 - 20 years,College degree,Technology & Science,58000.0
464,1,2.431282444047315,8 - 10 years,2 - 4 years,PhD,Health,95708.0
465,0,1.3070137020584371,8 - 10 years,8 - 10 years,College degree,Health,48636.0
466,1,2.655055225148683,11 - 20 years,11 - 20 years,Master's degree,Industry,165000.0
467,4,1.6413068664555497,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,102000.0
468,0,1.9320564131884888,21 - 30 years,21 - 30 years,College degree,Retail,71100.0
469,4,2.5906902499935636,21 - 30 years,8 - 10 years,Some college,Industry,136000.0
470,1,1.7700368167657887,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,110000.0
471,4,1.1601786771710307,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,72100.0
472,0,1.2068432841584924,21 - 30 years,21 - 30 years,College degree,Construction,75000.0
473,2,0.5957622100357869,5-7 years,2 - 4 years,PhD,Education,37024.0
474,2,0.8850184083828944,5-7 years,2 - 4 years,College degree,Human Ressources,55000.0
475,0,1.882027825424052,21 - 30 years,21 - 30 years,College degree,Culture,79000.0
476,1,1.2551170155248321,11 - 20 years,11 - 20 years,Master's degree,Consulting,78000.0
477,2,0.8045621894389949,5-7 years,5-7 years,College degree,Culture,50000.0
478,0,2.574599006204784,21 - 30 years,21 - 30 years,College degree,Health,145000.0
479,0,1.6734893540331093,21 - 30 years,21 - 30 years,College degree,Industry,100000.0
480,3,1.0909863288792772,5-7 years,2 - 4 years,Master's degree,Consulting,64800.0
481,2,1.1360418114878608,5-7 years,5-7 years,PhD,Education,70600.0
482,1,1.7814941871545644,8 - 10 years,5-7 years,Master's degree,Agriculture & Food,64780.0
483,1,1.1585695527921527,11 - 20 years,11 - 20 years,College degree,Industry,65000.0
484,2,1.6091243788779899,5-7 years,5-7 years,College degree,Health,75000.0
485,0,1.3677557220462913,11 - 20 years,11 - 20 years,College degree,Retail,75000.0
486,0,0.643649751551196,11 - 20 years,11 - 20 years,College degree,Unidentified,40000.0
487,2,1.4548113620722019,5-7 years,5-7 years,Master's degree,Unidentified,55805.4
488,0,0.7826780978862542,11 - 20 years,1 year or less,College degree,Retail,47840.0
489,0,1.5286681599340903,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,92000.0
490,3,2.655055225148683,31 - 40 years,31 - 40 years,Master's degree,Public & Government,165000.0
491,1,0.6487506758322391,31 - 40 years,21 - 30 years,Master's degree,Law,39917.0
492,0,0.8673180402152365,11 - 20 years,11 - 20 years,College degree,Education,53000.0
493,3,0.9558198810535259,2 - 4 years,2 - 4 years,Master's degree,Non profit Organization,59400.0
494,0,0.870134007878273,1 year or less,1 year or less,College degree,Industry,54075.0
495,3,0.8672375839962926,2 - 4 years,2 - 4 years,Master's degree,Public & Government,53895.0
496,1,1.3033907468911716,11 - 20 years,11 - 20 years,Some college,Health,76000.0
497,3,1.0794006333513555,2 - 4 years,2 - 4 years,Master's degree,Industry,67080.0
498,0,2.0888126548503907,11 - 20 years,11 - 20 years,College degree,Technology & Science,72680.0
499,1,1.9470404984423677,21 - 30 years,11 - 20 years,Some college,Other,115000.0
500,4,1.1585695527921527,8 - 10 years,8 - 10 years,Master's degree,Education,72000.0
501,0,1.3616088669189774,8 - 10 years,2 - 4 years,College degree,Technology & Science,71400.0
502,2,1.0539764681650834,5-7 years,5-7 years,Master's degree,Unidentified,64000.0
503,0,0.9011096521716743,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,53000.0
504,0,1.1987976622641023,21 - 30 years,11 - 20 years,College degree,Non profit Organization,72000.0
505,4,2.2527741304291857,21 - 30 years,21 - 30 years,Some college,Energy,120000.0
506,0,0.810106073263968,8 - 10 years,8 - 10 years,College degree,Advertising,47700.0
507,1,1.7700368167657887,11 - 20 years,5-7 years,Master's degree,Public & Government,103500.0
508,0,2.526325274838444,11 - 20 years,11 - 20 years,College degree,Public & Government,139000.0
509,2,0.6248229963183234,5-7 years,5-7 years,Master's degree,Non profit Organization,38110.0
510,0,1.4482119409901908,11 - 20 years,8 - 10 years,Master's degree,Culture,90000.0
511,0,0.8528359208053345,8 - 10 years,8 - 10 years,College degree,Law,53000.0
512,0,1.0522007758243135,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,40361.58
513,1,2.2045003990628462,11 - 20 years,5-7 years,Master's degree,Health,117000.0
514,1,2.0114054735974873,11 - 20 years,11 - 20 years,Master's degree,Unidentified,100000.0
