,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,payed
414,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,bad payed
415,1,8 - 10 years,5-7 years,College degree,Technology & Science,well payed
416,2,31 - 40 years,21 - 30 years,Master's degree,Public & Government,very well payed
417,0,5-7 years,5-7 years,College degree,Public & Government,well payed
418,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
419,4,8 - 10 years,2 - 4 years,College degree,Retail,bad payed
420,1,11 - 20 years,5-7 years,College degree,Unidentified,well payed
421,0,11 - 20 years,2 - 4 years,Master's degree,Public & Government,well payed
422,0,8 - 10 years,5-7 years,Master's degree,Consulting,well payed
423,2,11 - 20 years,8 - 10 years,Master's degree,Law,very well payed
424,1,11 - 20 years,11 - 20 years,College degree,Education,well payed
425,1,11 - 20 years,11 - 20 years,College degree,Unidentified,well payed
426,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,well payed
427,1,21 - 30 years,2 - 4 years,College degree,Technology & Science,well payed
428,1,11 - 20 years,2 - 4 years,College degree,Technology & Science,well payed
429,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,very well payed
430,2,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,very well payed
431,1,11 - 20 years,2 - 4 years,Some college,Technology & Science,well payed
432,3,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,well payed
433,1,11 - 20 years,11 - 20 years,Master's degree,Industry,well payed
434,2,11 - 20 years,5-7 years,College degree,Technology & Science,very well payed
435,4,2 - 4 years,2 - 4 years,Master's degree,Non profit Organization,bad payed
436,0,5-7 years,2 - 4 years,Master's degree,Other,bad payed
437,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
438,2,11 - 20 years,11 - 20 years,Master's degree,Public & Government,very well payed
439,0,8 - 10 years,5-7 years,College degree,Construction,well payed
440,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
441,0,5-7 years,5-7 years,College degree,Advertising,well payed
442,4,8 - 10 years,5-7 years,College degree,Education,bad payed
443,4,2 - 4 years,2 - 4 years,College degree,Technology & Science,bad payed
444,2,11 - 20 years,21 - 30 years,Some college,Advertising,very well payed
445,1,8 - 10 years,1 year or less,College degree,Public & Government,well payed
446,2,8 - 10 years,5-7 years,Master's degree,Technology & Science,very well payed
447,1,11 - 20 years,11 - 20 years,Some college,Technology & Science,very well payed
448,2,11 - 20 years,5-7 years,College degree,Technology & Science,very well payed
449,1,1 year or less,1 year or less,Some college,Technology & Science,well payed
450,4,5-7 years,2 - 4 years,Master's degree,Education,bad payed
451,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
452,1,21 - 30 years,11 - 20 years,College degree,Public & Government,well payed
453,1,21 - 30 years,11 - 20 years,College degree,Technology & Science,very well payed
454,2,11 - 20 years,11 - 20 years,Master's degree,Education,very well payed
455,0,2 - 4 years,11 - 20 years,Master's degree,Non profit Organization,well payed
456,3,8 - 10 years,8 - 10 years,PhD,Public & Government,well payed
457,0,11 - 20 years,5-7 years,Master's degree,Human Ressources,well payed
458,2,11 - 20 years,8 - 10 years,Master's degree,Consulting,very well payed
459,0,5-7 years,1 year or less,Master's degree,Social,bad payed
460,4,1 year or less,1 year or less,Master's degree,Education,bad payed
461,0,5-7 years,5-7 years,Master's degree,Non profit Organization,bad payed
462,0,5-7 years,5-7 years,Master's degree,Culture,bad payed
463,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,bad payed
464,2,8 - 10 years,2 - 4 years,PhD,Health,very well payed
465,3,8 - 10 years,8 - 10 years,College degree,Health,well payed
466,2,11 - 20 years,11 - 20 years,Master's degree,Industry,very well payed
467,3,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,well payed
468,1,21 - 30 years,21 - 30 years,College degree,Retail,well payed
469,2,21 - 30 years,8 - 10 years,Some college,Industry,very well payed
470,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,well payed
471,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
472,1,21 - 30 years,21 - 30 years,College degree,Construction,well payed
473,4,5-7 years,2 - 4 years,PhD,Education,bad payed
474,4,5-7 years,2 - 4 years,College degree,Human Ressources,bad payed
475,1,21 - 30 years,21 - 30 years,College degree,Culture,well payed
476,1,11 - 20 years,11 - 20 years,Master's degree,Consulting,well payed
477,0,5-7 years,5-7 years,College degree,Culture,bad payed
478,1,21 - 30 years,21 - 30 years,College degree,Health,very well payed
479,1,21 - 30 years,21 - 30 years,College degree,Industry,well payed
480,0,5-7 years,2 - 4 years,Master's degree,Consulting,well payed
481,0,5-7 years,5-7 years,PhD,Education,well payed
482,0,8 - 10 years,5-7 years,Master's degree,Agriculture & Food,well payed
483,1,11 - 20 years,11 - 20 years,College degree,Industry,well payed
484,0,5-7 years,5-7 years,College degree,Health,well payed
485,1,11 - 20 years,11 - 20 years,College degree,Retail,well payed
486,1,11 - 20 years,11 - 20 years,College degree,Unidentified,bad payed
487,0,5-7 years,5-7 years,Master's degree,Unidentified,well payed
488,1,11 - 20 years,1 year or less,College degree,Retail,bad payed
489,0,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,well payed
490,2,31 - 40 years,31 - 40 years,Master's degree,Public & Government,very well payed
491,0,31 - 40 years,21 - 30 years,Master's degree,Law,bad payed
492,1,11 - 20 years,11 - 20 years,College degree,Education,bad payed
493,4,2 - 4 years,2 - 4 years,Master's degree,Non profit Organization,bad payed
494,4,1 year or less,1 year or less,College degree,Industry,bad payed
495,4,2 - 4 years,2 - 4 years,Master's degree,Public & Government,bad payed
496,1,11 - 20 years,11 - 20 years,Some college,Health,well payed
497,0,2 - 4 years,2 - 4 years,Master's degree,Industry,well payed
498,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
499,1,21 - 30 years,11 - 20 years,Some college,Other,well payed
500,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
501,1,8 - 10 years,2 - 4 years,College degree,Technology & Science,well payed
502,0,5-7 years,5-7 years,Master's degree,Unidentified,well payed
503,4,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,bad payed
504,1,21 - 30 years,11 - 20 years,College degree,Non profit Organization,well payed
505,2,21 - 30 years,21 - 30 years,Some college,Energy,very well payed
506,3,8 - 10 years,8 - 10 years,College degree,Advertising,bad payed
507,0,11 - 20 years,5-7 years,Master's degree,Public & Government,well payed
508,1,11 - 20 years,11 - 20 years,College degree,Public & Government,very well payed
509,0,5-7 years,5-7 years,Master's degree,Non profit Organization,bad payed
510,3,11 - 20 years,8 - 10 years,Master's degree,Culture,well payed
511,3,8 - 10 years,8 - 10 years,College degree,Law,bad payed
512,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
513,2,11 - 20 years,5-7 years,Master's degree,Health,very well payed
514,2,11 - 20 years,11 - 20 years,Master's degree,Unidentified,very well payed
515,1,11 - 20 years,5-7 years,College degree,Industry,bad payed
516,0,5-7 years,5-7 years,Master's degree,Human Ressources,bad payed
517,1,11 - 20 years,8 - 10 years,Some college,Consulting,bad payed
518,4,2 - 4 years,2 - 4 years,College degree,Public & Government,bad payed
519,0,5-7 years,2 - 4 years,Master's degree,Other,bad payed
520,0,5-7 years,5-7 years,College degree,Non profit Organization,well payed
521,1,11 - 20 years,2 - 4 years,College degree,Non profit Organization,well payed
522,4,5-7 years,2 - 4 years,College degree,Law,bad payed
523,0,5-7 years,5-7 years,College degree,Industry,well payed
524,1,8 - 10 years,2 - 4 years,College degree,Technology & Science,well payed
525,4,2 - 4 years,2 - 4 years,College degree,Industry,well payed
526,0,11 - 20 years,5-7 years,Master's degree,Social,well payed
527,3,8 - 10 years,8 - 10 years,College degree,Education,well payed
528,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,well payed
529,0,5-7 years,5-7 years,Some college,Banking & Insurance,bad payed
530,1,11 - 20 years,5-7 years,College degree,Health,well payed
531,0,5-7 years,5-7 years,Master's degree,Education,well payed
532,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
533,0,21 - 30 years,21 - 30 years,Master's degree,Education,well payed
534,0,1 year or less,1 year or less,PhD,Education,well payed
535,3,8 - 10 years,5-7 years,Master's degree,Banking & Insurance,well payed
536,1,11 - 20 years,11 - 20 years,College degree,Industry,well payed
537,3,8 - 10 years,8 - 10 years,PhD,Law,well payed
538,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
539,0,41 years or more,31 - 40 years,High School,Public & Government,well payed
540,2,11 - 20 years,11 - 20 years,Master's degree,Unidentified,very well payed
541,4,5-7 years,2 - 4 years,College degree,Law,bad payed
542,1,21 - 30 years,11 - 20 years,College degree,Banking & Insurance,well payed
543,0,8 - 10 years,5-7 years,Master's degree,Non profit Organization,bad payed
544,0,5-7 years,2 - 4 years,College degree,Unidentified,well payed
545,3,8 - 10 years,2 - 4 years,Master's degree,Industry,well payed
546,1,11 - 20 years,8 - 10 years,College degree,Non profit Organization,bad payed
547,0,5-7 years,1 year or less,Some college,Technology & Science,well payed
548,2,11 - 20 years,8 - 10 years,Master's degree,Consulting,very well payed
549,1,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,bad payed
550,4,2 - 4 years,2 - 4 years,College degree,Public & Government,bad payed
551,1,2 - 4 years,2 - 4 years,College degree,Technology & Science,well payed
552,0,5-7 years,5-7 years,Master's degree,Education,bad payed
553,0,21 - 30 years,21 - 30 years,College degree,Non profit Organization,well payed
554,1,11 - 20 years,11 - 20 years,Some college,Education,bad payed
555,1,11 - 20 years,11 - 20 years,College degree,Advertising,very well payed
556,4,2 - 4 years,2 - 4 years,College degree,Education,bad payed
557,1,11 - 20 years,8 - 10 years,College degree,Consulting,well payed
558,1,21 - 30 years,2 - 4 years,College degree,Industry,well payed
559,2,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,very well payed
560,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
561,1,11 - 20 years,5-7 years,College degree,Health,well payed
562,1,11 - 20 years,11 - 20 years,College degree,Education,well payed
563,1,11 - 20 years,5-7 years,College degree,Banking & Insurance,bad payed
564,0,5-7 years,5-7 years,Master's degree,Industry,well payed
565,0,11 - 20 years,5-7 years,PhD,Education,well payed
566,1,11 - 20 years,8 - 10 years,College degree,Health,well payed
567,0,5-7 years,2 - 4 years,College degree,Banking & Insurance,well payed
568,3,8 - 10 years,8 - 10 years,Master's degree,Unidentified,bad payed
569,1,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,well payed
570,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,well payed
571,0,5-7 years,5-7 years,College degree,Culture,bad payed
572,1,11 - 20 years,8 - 10 years,College degree,Industry,very well payed
573,1,21 - 30 years,11 - 20 years,College degree,Industry,well payed
574,0,5-7 years,5-7 years,College degree,Banking & Insurance,bad payed
575,1,31 - 40 years,31 - 40 years,College degree,Health,well payed
576,4,8 - 10 years,5-7 years,College degree,Unidentified,bad payed
577,0,5-7 years,5-7 years,PhD,Health,very well payed
578,4,5-7 years,2 - 4 years,College degree,Banking & Insurance,bad payed
579,1,11 - 20 years,11 - 20 years,College degree,Banking & Insurance,very well payed
580,1,8 - 10 years,1 year or less,College degree,Technology & Science,well payed
581,1,21 - 30 years,11 - 20 years,College degree,Public & Government,well payed
582,1,31 - 40 years,11 - 20 years,College degree,Public & Government,well payed
583,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
584,1,11 - 20 years,11 - 20 years,College degree,Health,bad payed
585,0,5-7 years,5-7 years,Master's degree,Industry,well payed
586,4,11 - 20 years,2 - 4 years,College degree,Industry,bad payed
587,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,bad payed
588,3,21 - 30 years,8 - 10 years,Master's degree,Education,bad payed
589,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
590,1,11 - 20 years,11 - 20 years,College degree,Unidentified,well payed
591,1,11 - 20 years,8 - 10 years,College degree,Industry,well payed
592,0,41 years or more,31 - 40 years,Master's degree,Health,well payed
593,3,11 - 20 years,2 - 4 years,Master's degree,Banking & Insurance,well payed
594,2,11 - 20 years,8 - 10 years,Master's degree,Education,bad payed
595,3,8 - 10 years,8 - 10 years,PhD,Education,very bad payed 
596,0,21 - 30 years,11 - 20 years,Master's degree,Education,well payed
597,2,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,very well payed
598,1,21 - 30 years,11 - 20 years,Some college,Other,bad payed
599,0,11 - 20 years,5-7 years,College degree,Non profit Organization,bad payed
600,1,11 - 20 years,11 - 20 years,College degree,Unidentified,bad payed
601,0,5-7 years,5-7 years,College degree,Non profit Organization,well payed
602,0,5-7 years,2 - 4 years,Master's degree,Non profit Organization,bad payed
603,0,5-7 years,2 - 4 years,College degree,Non profit Organization,well payed
604,0,8 - 10 years,5-7 years,PhD,Public & Government,well payed
605,4,21 - 30 years,5-7 years,College degree,Education,bad payed
606,0,8 - 10 years,5-7 years,PhD,Law,well payed
607,0,8 - 10 years,5-7 years,Master's degree,Culture,bad payed
608,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
609,1,11 - 20 years,11 - 20 years,Master's degree,Retail,well payed
610,4,41 years or more,21 - 30 years,PhD,Education,bad payed
611,0,8 - 10 years,5-7 years,College degree,Human Ressources,well payed
612,0,21 - 30 years,5-7 years,College degree,Banking & Insurance,well payed
613,1,11 - 20 years,8 - 10 years,College degree,Public & Government,well payed
614,3,8 - 10 years,8 - 10 years,College degree,Industry,well payed
615,1,21 - 30 years,11 - 20 years,College degree,Non profit Organization,bad payed
616,4,2 - 4 years,2 - 4 years,College degree,Advertising,bad payed
617,4,2 - 4 years,41 years or more,College degree,Banking & Insurance,bad payed
618,2,21 - 30 years,21 - 30 years,Master's degree,Industry,very well payed
619,4,8 - 10 years,2 - 4 years,College degree,Education,well payed
620,3,21 - 30 years,8 - 10 years,College degree,Banking & Insurance,well payed
621,0,8 - 10 years,5-7 years,Master's degree,Health,well payed
622,3,8 - 10 years,8 - 10 years,Master's degree,Health,well payed
623,0,21 - 30 years,5-7 years,High School,Public & Government,very bad payed 
624,4,31 - 40 years,31 - 40 years,Master's degree,Education,bad payed
625,1,21 - 30 years,21 - 30 years,College degree,Other,well payed
626,4,8 - 10 years,2 - 4 years,College degree,Education,bad payed
627,1,11 - 20 years,11 - 20 years,College degree,Unidentified,well payed
